"sample_name","pheno_species","site","site_group","Zone","pop_0_mean","pop_1_mean","pop_0_min_CI","pop_1_min_CI","pop_0_max_CI","pop_1_max_CI","ci_geno_species"
"Fescue1","FA","GLEN2","GLEN","Sympatric 1",0.448769,0.551231,0.425358,0.527021,0.472979,0.574642,"HY"
"Fescue10","FA","GLEN6","GLEN","Sympatric 1",0.102286,0.897714,0.083259,0.878752,0.121248,0.916741,"HY"
"Fescue100","FH","RUM3","RUM","FH allopatric",0.90415,0.09585,0.886518,0.078399,0.921601,0.113482,"HY"
"Fescue101","FH","RUM3","RUM","FH allopatric",0.935337,0.064663,0.918387,0.048531,0.951469,0.081613,"HY"
"Fescue102","FH","RUM3","RUM","FH allopatric",0.904782,0.095218,0.88644,0.077212,0.922788,0.11356,"HY"
"Fescue104","FA","GLEN2","GLEN","Sympatric 1",0.192072,0.807928,0.170937,0.785606,0.214394,0.829063,"HY"
"Fescue105","FA","GLEN2","GLEN","Sympatric 1",0.300192,0.699808,0.2627,0.663561,0.336439,0.7373,"HY"
"Fescue106","FA","GLEN2","GLEN","Sympatric 1",0.570793,0.429207,0.55066,0.409136,0.590864,0.44934,"HY"
"Fescue107","FA","GLEN4","GLEN","Sympatric 1",0.999571,0.000429,0.996626,0,1,0.003374,"FH"
"Fescue108","FA","GLEN4","GLEN","Sympatric 1",0.460687,0.539313,0.439429,0.518047,0.481953,0.560571,"HY"
"Fescue109","FA","GLEN1","GLEN","Sympatric 1",0.612441,0.387559,0.591663,0.366705,0.633295,0.408337,"HY"
"Fescue11","FA","GLEN6","GLEN","Sympatric 1",0.306979,0.693021,0.285236,0.671617,0.328383,0.714764,"HY"
"Fescue110","FA","GLEN1","GLEN","Sympatric 1",0.622756,0.377244,0.602308,0.357326,0.642674,0.397692,"HY"
"Fescue111","FA","GLEN1","GLEN","Sympatric 1",0.692601,0.307399,0.671611,0.28691,0.71309,0.328389,"HY"
"Fescue112","FA","CHSK1","CHSK","Sympatric 2",0.587294,0.412706,0.560713,0.386439,0.613561,0.439287,"HY"
"Fescue113","FA","CHAB1","CHAB","Sympatric 2",0.415083,0.584917,0.39351,0.563943,0.436057,0.60649,"HY"
"Fescue114","FA","GLEN6","GLEN","Sympatric 1",0.316858,0.683142,0.288595,0.655038,0.344962,0.711405,"HY"
"Fescue12","FA","GLEN6","GLEN","Sympatric 1",0.355056,0.644944,0.333768,0.622381,0.377619,0.666232,"HY"
"Fescue13","FA","GLEN6","GLEN","Sympatric 1",0.291558,0.708442,0.270853,0.686573,0.313427,0.729147,"HY"
"Fescue14","FA","CHSK1","CHSK","Sympatric 2",0.595868,0.404132,0.574408,0.382554,0.617446,0.425592,"HY"
"Fescue15","FA","GLEN7","GLEN","Sympatric 1",0.295419,0.704581,0.273406,0.682366,0.317634,0.726594,"HY"
"Fescue16","FA","GLEN7","GLEN","Sympatric 1",0.174879,0.825121,0.149521,0.799512,0.200488,0.850479,"HY"
"Fescue17","FA","GLEN7","GLEN","Sympatric 1",0.42704,0.57296,0.4034,0.549174,0.450826,0.5966,"HY"
